quotes,authors
"You’re braver than you believe, and stronger than you seem, and smarter than you think.",A.A. Mine
Keep your face to the sunshine and you cannot see a shadow.,Helen Keller
"In every day, there are 1,440 minutes. That means we have 1,440 daily opportunities to make a positive impact.",Les Brown
The only time you fail is when you fall down and stay down.,Stephen Richards
Positive anything is better than negative nothing.,Elbert Hubbard
Optimism is a happiness magnet. If you stay positive good things and good people will be drawn to you.,Mary Lou Retton
"Happiness is an attitude. We either make ourselves miserable, or happy and strong. The amount of work is the same.",Francesca Reigler
"It’s not whether you get knocked down, it’s whether you get up.",Vince Lombardi
The struggle you’re in today is developing the strength you need tomorrow.,Robert Tew
Happiness is the only thing that multiplies when you share it.,Albert Schweitzer
The happiness of your life depends upon the quality of your thoughts.,Marcus Aurelius
"Once you replace negative thoughts with positive ones, you’ll start having positive results.",Willie Nelson
Positive thinking will let you do everything better than negative thinking will.,Zig Ziglar
"The way I see it, if you want the rainbow, you gotta put up with the rain.",Dolly Parton
"The more you praise and celebrate your life, the more there is in life to celebrate.",Oprah Winfrey
"If you want light to come into your life, you need to stand where it is shining.",Guy Finley
"The good life is a process, not a state of being. It is a direction, not a destination.",Carl Rogers
A truly happy person is one who can enjoy the scenery while on a detour.,Anonymous
"You’re off to great places, today is your day. Your mountain is waiting, so get on your way.",Dr. Seuss
Winning doesn’t always mean being first. Winning means you’re doing better than you’ve done before.,Bonnie Blair
"Winning is fun, but those moments that you can touch someone’s life in a very positive way are better.",Tim Howard
Virtually nothing is impossible in this world if you just put your mind to it and maintain a positive attitude.,Lou Holtz
You are never too old to set another goal or dream a new dream.,Les Brown
Every day may not be good… but there’s something good in every day.,Alice Morse Earle
The difference between ordinary and extraordinary is that little extra.,Jimmy Johnson
"Be so happy that, when other people look at you, they become happy too.",Anonymous
No one is perfect – that’s why pencils have erasers.,Wolfgang Riebe
No one is perfect – that’s why pencils have erasers.,Wolfgang Riebe
Let your unique awesomeness and positive energy inspire confidence in others.,Anonymous
"Wherever you go, no matter what the weather, always bring your own sunshine.",Anthony J. D’Angelo
"When we are open to new possibilities, we find them. Be open and skeptical of everything.",Todd Kashdan
Live life to the fullest and focus on the positive.,Matt Cameron
You always pass failure on the way to success.,Mickey Rooney
It always seems impossible until it is done.,Nelson Mandela
"When you are enthusiastic about what you do, you feel this positive energy. It’s very simple.",Paulo Coelho
It makes a big difference in your life when you stay positive.,Ellen DeGeneres
"If opportunity doesn’t knock, build a door.",Milton Berle
"The sun himself is weak when he first rises, and gathers strength and courage as the day gets on.",Charles Dickens
Hard work keeps the wrinkles out of the mind and spirit.,Helena Rubinstein
Success is the sum of small efforts repeated day in and day out.,Robert Collier
